nick,kills,deaths,thw,sui,score,damageGiven,damageRecvd,weaponStats.MachineGun.hits,weaponStats.MachineGun.miss,weaponStats.MachineGun.kills,weaponStats.MachineGun.deaths,weaponStats.MachineGun.acc,weaponStats.Shotgun.hits,weaponStats.Shotgun.miss,weaponStats.Shotgun.kills,weaponStats.Shotgun.deaths,weaponStats.Shotgun.acc,weaponStats.G\.Launcher.hits,weaponStats.G\.Launcher.miss,weaponStats.G\.Launcher.kills,weaponStats.G\.Launcher.deaths,weaponStats.G\.Launcher.acc,weaponStats.R\.Launcher.hits,weaponStats.R\.Launcher.miss,weaponStats.R\.Launcher.kills,weaponStats.R\.Launcher.deaths,weaponStats.R\.Launcher.acc,weaponStats.LightningGun:.hits,weaponStats.LightningGun:.miss,weaponStats.LightningGun:.kills,weaponStats.LightningGun:.deaths,weaponStats.LightningGun:.acc,weaponStats.Railgun.hits,weaponStats.Railgun.miss,weaponStats.Railgun.kills,weaponStats.Railgun.deaths,weaponStats.Railgun.acc,weaponStats.Plasmagun.hits,weaponStats.Plasmagun.miss,weaponStats.Plasmagun.kills,weaponStats.Plasmagun.deaths,weaponStats.Plasmagun.acc,games
[bst]Abibas,300,219,15,1,311,105048,90406,0,0,0,0,0,4,77,0,2,5.2,3,86,1,0,3.5,225,1715,11,50,13.1,7475,21656,200,114,34.5,380,829,87,51,45.8,1,49,0,1,2,25
[bst]KRISA,270,235,21,0,291,93845,92098,0,0,0,0,0,12,66,3,1,18.2,0,53,0,0,0,255,1539,39,40,16.6,4726,13751,113,116,34.4,453,868,113,75,52.2,27,140,0,0,19.3,25
[bst]unk,257,202,21,1,275,88697,83863,0,0,0,0,0,23,110,1,2,20.9,11,214,2,0,5.1,601,3669,74,43,16.4,3470,11682,93,94,29.7,301,683,84,59,44.1,0,14,0,1,0,24
R72.LOKOMOTIV,145,267,11,0,156,67492,87837,0,0,0,1,0,0,0,0,0,0,2,113,1,1,1.8,185,935,21,39,19.8,4079,12189,83,135,33.5,280,659,40,88,42.5,3,51,0,1,5.9,23
Cybra,142,250,10,0,152,69211,81919,0,0,0,0,0,10,77,1,4,13,1,27,1,1,3.7,193,1396,23,42,13.8,2804,7587,59,105,37,380,850,58,91,44.7,0,10,0,1,0,23
John Coffey,111,257,8,0,119,57155,79790,0,0,0,0,0,9,22,1,0,40.9,7,168,0,2,4.2,235,1358,18,38,17.3,3092,10005,49,136,30.9,220,557,43,71,39.5,0,29,0,0,0,23
Psyborgn8,40,56,2,0,42,33667,35712,0,0,0,0,0,0,33,0,0,0,3,55,0,0,5.5,79,387,12,22,20.4,2123,5729,35,52,37.1,141,282,24,36,50,0,17,0,0,0,9
M1ragen8,45,48,4,0,49,32204,34865,0,0,0,0,0,0,11,0,1,0,2,67,1,0,3,124,799,18,27,15.5,1511,4400,37,40,34.3,153,403,25,33,38,0,0,0,0,0,9
xpown8,45,50,4,0,49,30627,35655,0,0,0,0,0,0,44,0,0,0,0,85,0,0,0,142,722,10,18,19.7,1909,6243,53,43,30.6,95,230,13,43,41.3,0,0,0,0,0,9
CTPAHA*COBETOB,107,178,14,0,119,48698,57450,0,0,0,0,0,1,110,1,0,0.9,4,90,0,1,4.4,217,917,25,36,23.7,2368,6787,47,77,34.9,170,453,30,62,37.5,91,829,4,0,11,15
